=== MAT.ALG.FUNC_EXPONENCIAL_BASE - Conceptos de la función exponencial (10 recursos) ===
MAT.ALG.FUNC_EXPONENCIAL_BASE.DEFINICION | Definición de función exponencial
MAT.ALG.FUNC_LOGARITMICA_BASE.INTERCEPTO_X | Cálculo del intercepto de la función logarítmica con el eje X
MAT.ALG.FUNC_LOGARITMICA_BASE.SIN_INTERCEPTO_Y | Justificación de la ausencia de intercepto con el eje Y en la función logarítmica básica
MAT.ALG.FUNC_LOGARITMICA_BASE.CRECIMIENTO_BASE_MAYOR_UNO | Análisis del crecimiento de la función logarítmica para bases mayores que uno
MAT.ALG.FUNC_LOGARITMICA_BASE.DECRECIMIENTO_BASE_ENTRE_CERO_UNO | Análisis del decrecimiento de la función logarítmica para bases entre cero y uno
MAT.ALG.FUNC_LOGARITMICA_BASE.GRAFICA | Construcción de la gráfica de la función logarítmica según su base
MAT.ALG.FUNC_LOGARITMICA_BASE.ECUACIONES_POR_DEFINICION | Resolución de ecuaciones logarítmicas aplicando la definición
MAT.ALG.FUNC_LOGARITMICA_BASE.VERIFICACION_RESTRICCIONES | Verificación de restricciones de dominio en soluciones logarítmicas
=== MAT.ALG.LOGARITMOS_PROPIEDADES - Logaritmos y sus propiedades (12 recursos) ===
MAT.ALG.LOGARITMOS_PROPIEDADES.DEFINICION | Definición de logaritmo como exponente de una potencia
MAT.ALG.LOGARITMOS_PROPIEDADES.EQUIVALENCIA_EXPONENCIAL | Conversión entre forma logarítmica y forma exponencial
MAT.ALG.LOGARITMOS_PROPIEDADES.CONDICION_BASE | Identificación de la condición de base positiva y distinta de uno en un logaritmo
MAT.ALG.LOGARITMOS_PROPIEDADES.RESTRICCION_ARGUMENTO | Identificación de la restricción positiva del argumento en un logaritmo
MAT.ALG.LOGARITMOS_PROPIEDADES.LOGARITMO_UNO | Cálculo del logaritmo de uno en cualquier base válida
MAT.ALG.LOGARITMOS_PROPIEDADES.LOGARITMO_BASE | Cálculo del logaritmo de la base
MAT.ALG.LOGARITMOS_PROPIEDADES.LOGARITMO_POTENCIA_BASE | Cálculo del logaritmo de una potencia de la base
MAT.ALG.LOGARITMOS_PROPIEDADES.PRODUCTO | Aplicación de la propiedad del logaritmo de un producto
MAT.ALG.LOGARITMOS_PROPIEDADES.COCIENTE | Aplicación de la propiedad del logaritmo de un cociente
MAT.ALG.LOGARITMOS_PROPIEDADES.POTENCIA | Aplicación de la propiedad del logaritmo de una potencia
MAT.ALG.LOGARITMOS_PROPIEDADES.CAMBIO_BASE | Uso de la fórmula de cambio de base en expresiones logarítmicas
MAT.ALG.LOGARITMOS_PROPIEDADES.SIMPLIFICACION | Simplificación de expresiones logarítmicas usando propiedades
=== MAT.ALG.RELACION_EXP_LOG - Relación de funciones inversas (9 recursos) ===
MAT.ALG.RELACION_EXP_LOG.INVERSA_CONCEPTO | Reconocimiento de la función logarítmica como inversa de la función exponencial
MAT.ALG.RELACION_EXP_LOG.COMPOSICION_EXP_LOG | Aplicación de la composición log_b(b^x) para recuperar x
MAT.ALG.RELACION_EXP_LOG.COMPOSICION_LOG_EXP | Aplicación de la composición b^(log_b x) para recuperar x
MAT.ALG.RELACION_EXP_LOG.SIMETRIA_RECTA_IDENTIDAD | Análisis de la simetría entre las gráficas exponencial y logarítmica respecto de la recta identidad
MAT.ALG.RELACION_EXP_LOG.CONVERSION_EXP_LOG | Conversión de una ecuación exponencial a forma logarítmica
MAT.ALG.RELACION_EXP_LOG.CONVERSION_LOG_EXP | Conversión de una ecuación logarítmica a forma exponencial
MAT.ALG.RELACION_EXP_LOG.RESOLUCION_EXP_LOGARITMOS | Resolución de ecuaciones exponenciales usando logaritmos
MAT.ALG.RELACION_EXP_LOG.MODELO_LOGARITMICO_CONTEXTO | Modelamiento de situaciones contextualizadas mediante funciones logarítmicas
MAT.ALG.RELACION_EXP_LOG.ELECCION_MODELO | Elección entre modelo exponencial y logarítmico según el contexto
